time,windspeed_x,windspeed_y,windspeed_z,static_pressure,temperature_celsius,atmospheric_pressure_hPa
12.37495399,-0.56,-0.24,6.13,-0.12,30.84,999.89
12.37974882,0.22,0.2,6.61,0.24,30.84,999.89
12.38477993,0.06,0.27,6.46,-0.47,30.84,999.89
12.38984084,-0.53,0.37,6.06,-0.25,30.84,999.89
12.39473581,0.05,0.01,6.77,-0.32,30.84,999.89
12.39973092,0.08,-0.06,6.56,-0.54,30.84,999.89
12.40482378,-0.01,-0.5,6.46,-0.68,30.87,999.89
12.40987706,-0.34,-0.43,6.51,-0.95,30.87,999.89
12.4148109,-0.37,0.13,6.29,-0.58,30.87,999.89
12.41980481,0.22,0.11,6.49,-1.12,30.87,999.89
12.42486286,0.07,-0.04,6.92,-1.13,30.87,999.89
12.42975092,-0.36,-0.17,6.96,-0.75,30.87,999.89
12.43484998,-0.38,-0.28,6.87,-1.66,30.87,999.89
12.43983173,-0.16,-0.37,6.45,-1.58,30.87,999.89
12.44481802,0.11,-0.09,6.47,-1.65,30.87,999.89
12.44988585,-0.16,0.23,7.02,-1.38,30.87,999.89
12.45478773,0.04,0.17,6.87,-2.05,30.87,999.89
12.46001887,-0.51,0.09,6.8,-1.95,30.87,999.89
12.46511173,-0.18,-0.37,6.89,-2.33,30.87,999.89
12.47019792,0.44,-0.13,6.54,-1.79,30.87,999.89
12.47482991,0.62,-0.21,6.6,-2.03,30.87,999.89
12.4798789,0.62,-0.03,7.14,-1.94,30.87,999.89
12.48478699,0.16,-0.56,7.56,-2.47,30.87,999.89
12.48979688,0.13,-0.23,7.23,-2.18,30.87,999.89
12.4948349,-0.08,0.18,6.96,-2.08,30.87,999.89
12.49984598,0.14,0,7.66,-2.49,30.87,999.89
12.50481796,0.04,-0.33,6.87,-1.89,30.87,999.89
12.50975013,-0.12,-0.67,7.04,-2.69,30.87,999.89
12.51477003,0.5,-0.25,7.01,-2.55,30.87,999.89
12.51980805,0.28,-0.26,7.17,-2.82,30.87,999.89
12.52493382,0.36,0.01,6.92,-1.59,30.87,999.89
12.52978992,0.15,-0.46,6.72,-2.8,30.87,999.89
12.53480101,0.22,-0.24,7.38,-2.63,30.87,999.89
12.53980088,-0.23,-0.49,7.14,-2.84,30.87,999.89
12.54473972,0.14,0.02,6.74,-2.78,30.87,999.89
12.54973912,-0.18,-0.27,6.9,-2.37,30.87,999.89
12.5547049,0.14,-0.61,6.6,-3.12,30.87,999.89
12.55962992,0.17,-0.24,6.28,-2.82,30.87,999.89
12.56479907,0.17,-0.06,6.35,-3.11,30.87,999.89
12.56977677,0.53,0.08,7.09,-3.96,30.87,999.89
12.57456899,0.66,-0.1,7.17,-2.84,30.87,999.89
12.57979798,0.6,0.1,7.03,-3.36,30.87,999.89
12.58477998,0.47,-0.15,7.26,-3.18,30.87,999.89
12.58983302,0.43,-0.46,7.01,-3.39,30.87,999.89
12.59473681,0.53,-0.51,6.84,-3.3,30.87,999.89
12.59982085,0.39,-0.63,7.01,-2.66,30.87,999.89
12.60486507,0.78,-0.69,6.98,-3.26,30.84,999.89
12.6099329,0.44,-0.32,7.22,-3.32,30.84,999.89
12.61479592,0.29,-0.57,6.87,-2.84,30.84,999.89
12.61982107,0.59,-0.75,6.73,-3.4,30.84,999.89
12.62465286,0.22,-0.54,6.67,-3.28,30.84,999.89
12.62983298,0.25,-0.25,6.76,-3.12,30.84,999.89
12.63477778,0.53,-0.45,7.22,-3.05,30.84,999.89
12.63970089,1.12,-0.13,7.29,-3.34,30.84,999.89
12.64485097,0.74,-0.33,7.27,-2.9,30.84,999.89
12.64983511,0.48,-0.76,7.5,-3.32,30.84,999.89
12.65469599,0.56,-0.88,7.4,-3.18,30.84,999.89
12.65978098,0.58,-0.83,7.41,-2.77,30.84,999.89
12.66478086,0.87,-0.65,7.27,-3.22,30.84,999.89
12.66996098,0.53,-0.57,7.22,-2.68,30.84,999.89
12.67491484,0.55,-0.46,7.33,-2.8,30.84,999.89
12.67983389,0.77,-0.6,7.75,-2.85,30.84,999.89
12.68494177,0.68,-0.78,7.27,-2.95,30.84,999.89
12.69014502,0.12,-0.7,7.54,-2.66,30.84,999.89
12.69515181,0.36,-0.31,7.06,-3.17,30.84,999.89
12.70012093,0.77,-0.26,7.05,-3.17,30.84,999.89
12.70511889,0.45,-0.35,7.15,-3.34,30.84,999.89
12.71003795,0.33,-0.57,7.18,-3.42,30.84,999.89
12.71478391,0.43,-0.48,6.81,-2.88,30.84,999.89
12.71975398,0.2,-0.72,7.05,-3.2,30.84,999.89
12.72479892,0.06,-0.98,6.76,-3.17,30.84,999.89
12.72959113,0.5,-1.02,7.19,-3.03,30.84,999.89
12.73474789,0.62,-0.33,7.61,-2.91,30.84,999.89
12.739784,0.85,-0.25,7.57,-2.58,30.84,999.89
12.7448709,0.6,-0.82,7.22,-2.71,30.84,999.89
12.74974489,0.33,-0.48,6.94,-3.04,30.84,999.89
12.75474381,0.38,-0.36,7.05,-3.03,30.84,999.89
12.75979495,0.33,-0.39,7.71,-2.77,30.84,999.89
12.76491904,-0.08,-0.3,7.45,-2.8,30.84,999.89
12.76978302,0.52,-0.56,7.07,-2.79,30.84,999.89
12.77485085,0.81,-0.06,7.53,-2.94,30.84,999.89
12.7798028,0.51,-0.32,7.4,-2.98,30.84,999.89
12.78479886,0.58,-0.19,7.33,-2.78,30.84,999.89
12.78978801,0.39,-0.59,7.61,-3.05,30.84,999.89
12.79465508,0.58,-0.43,7.19,-2.94,30.84,999.89
12.79978895,0.36,-0.68,7.19,-2.97,30.84,999.89
12.80485511,0.39,-0.74,7.62,-3.2,30.84,999.89
12.80966687,0.2,-0.73,7.73,-2.69,30.84,999.89
12.81481504,0.49,-0.11,7.82,-2.67,30.84,999.89
12.81982684,0.67,0.06,7.25,-2.43,30.84,999.89
12.82473803,0.39,-0.03,7.11,-2.65,30.84,999.89
12.82992196,0.51,-0.37,7.12,-2.45,30.84,999.89
12.83481812,0.14,-0.85,7.46,-2.74,30.84,999.89
12.83994389,0.06,-0.47,7.58,-3.02,30.84,999.89
12.84516883,0.58,-0.36,7.49,-2.2,30.84,999.89
12.84984779,0.17,-0.52,7.1,-2.26,30.84,999.89
12.85480404,0.22,-0.24,7.12,-2.06,30.84,999.89
12.85975695,0.43,-0.46,6.67,-2.36,30.84,999.89
12.86489296,0.25,-0.76,7.12,-2.36,30.84,999.89
12.86989093,0.03,-0.5,7.36,-2.05,30.84,999.89
12.87494087,0.13,-0.55,7.3,-2.39,30.84,999.89
12.88028908,0.41,-0.87,7.21,-2.11,30.84,999.89
12.88513112,0.36,-1,7.4,-2.19,30.84,999.89
12.89012289,0.17,-0.53,6.93,-2.08,30.84,999.89
12.89511681,0.13,-0.48,7.37,-2.31,30.84,999.89
12.90000582,0.05,-0.79,6.92,-1.88,30.84,999.89
12.90479493,0.28,-0.29,6.88,-1.92,30.84,999.89
12.90981507,0.43,-0.26,7.06,-1.73,30.84,999.89
12.9148469,0.26,-0.61,7.55,-1.94,30.84,999.89
12.91986203,0.53,-0.87,7.35,-1.63,30.84,999.89
12.92507911,0.52,-0.43,6.98,-2.14,30.84,999.89
12.93014598,0.66,-0.54,7.34,-1.98,30.84,999.89
12.93512774,0.61,-0.08,7.67,-1.57,30.84,999.89
12.93977094,0.7,-0.23,7.53,-1.84,30.84,999.89
12.94482493,0.54,-0.39,7.06,-1.23,30.84,999.89
12.94976211,0.22,-0.62,7.25,-2.11,30.84,999.89
12.95472193,0.36,-0.45,6.9,-1.51,30.84,999.89
12.95975995,0.42,-0.67,7.1,-1.59,30.84,999.89
12.96489191,0.32,-0.58,7.34,-1.71,30.84,999.89
12.96981287,0.12,-0.66,7.26,-1.62,30.84,999.89
12.97482181,0.23,-0.6,7.35,-1.67,30.84,999.89
12.97985578,0.47,-0.7,7.3,-1.53,30.84,999.89
12.98465896,0.13,-0.7,7.17,-1.25,30.84,999.89
12.98979783,0.13,-0.57,7.13,-1.57,30.84,999.89
12.99477673,0.38,-0.55,7.34,-1.88,30.84,999.89
12.99978495,0.13,-0.73,7.71,-1.6,30.84,999.89
13.00545788,0.09,-0.85,7.67,-1.66,30.87,1000.21
13.00987601,0.4,-0.8,7.47,-1.8,30.87,1000.21
13.01478195,0.29,-0.16,7.2,-1.23,30.87,1000.21
13.01978803,0.38,-0.41,6.66,-1.47,30.87,1000.21
13.02484298,0.54,-0.74,6.91,-1.67,30.87,1000.21
13.02975988,0.37,-0.71,6.54,-1.24,30.87,1000.21
13.03481889,0.32,-0.62,7.26,-2.13,30.87,1000.21
13.03971791,0.07,-0.71,7.2,-1.5,30.87,1000.21
13.04454088,0.43,-0.8,7.12,-1.67,30.87,1000.21
13.04977298,0.36,-0.7,7.32,-1.55,30.87,1000.21
13.05477691,0.53,-0.54,6.81,-1.35,30.87,1000.21
13.05914402,0.69,-0.62,6.97,-1.64,30.87,1000.21
13.06422186,0.69,-0.62,6.97,-1.64,30.87,1000.21
13.06987286,0.03,-0.61,7.45,-1.35,30.87,1000.21
13.07491469,-0.05,-0.4,7.52,-1.29,30.87,1000.21
13.08019471,0.34,-0.39,7.23,-0.63,30.87,1000.21
13.08511591,0.36,-0.38,6.91,-1.35,30.87,1000.21
13.08979106,0.16,-0.73,7.35,-1.21,30.87,1000.21
13.09469295,0.08,-0.75,7.21,-1.19,30.87,1000.21
13.09983492,0.25,-0.65,7.15,-1.15,30.87,1000.21
13.10487986,0.4,-0.83,7.01,-1.32,30.87,1000.21
13.10990906,0.55,-0.74,7.13,-1.27,30.87,1000.21
13.11479878,0.51,-0.67,6.66,-1.22,30.87,1000.21
13.11978078,0.27,-0.69,6.94,-1.47,30.87,1000.21
13.12474799,0.65,-0.52,6.89,-1.04,30.87,1000.21
13.12976599,0.58,-0.3,7.2,-0.94,30.87,1000.21
13.13482809,0.53,-0.21,7.45,-1.14,30.87,1000.21
13.13975286,0.49,-0.41,6.87,-1.06,30.87,1000.21
13.1448369,0.35,-0.54,6.85,-0.93,30.87,1000.21
13.14975476,0.45,-0.51,7.05,-0.91,30.87,1000.21
13.15489793,0.42,-0.22,7.32,-0.92,30.87,1000.21
13.15979075,0.21,-0.36,7.27,-0.79,30.87,1000.21
13.16477275,-0.03,-0.55,6.95,-0.9,30.87,1000.21
13.16982794,0.1,-0.5,6.95,-0.81,30.87,1000.21
13.17480779,0.09,-0.9,7.3,-0.62,30.87,1000.21
13.17979503,0.01,-0.47,7.26,-0.69,30.87,1000.21
13.18484998,0.6,-0.22,7.32,-0.19,30.87,1000.21
13.18993306,0.35,-0.63,6.86,-0.82,30.87,1000.21
13.19479775,0.14,-0.52,6.87,-0.8,30.87,1000.21
13.19989204,0.38,-0.83,6.69,-0.84,30.87,1000.21
13.20483589,0.15,-0.74,6.68,-0.63,30.87,1000.21
13.20988083,-0.03,-0.48,7.1,-0.62,30.87,1000.21
13.21475887,0.12,-0.87,7.13,-0.59,30.87,1000.21
13.21975994,0.5,-0.63,6.78,-1.09,30.87,1000.21
13.22476697,0.11,-0.47,6.56,-0.85,30.87,1000.21
13.22969079,-0.24,-0.33,6.94,-1.06,30.87,1000.21
13.23476982,0.53,-0.48,7.08,-1.22,30.87,1000.21
13.2397449,0.52,-0.13,6.74,-0.98,30.87,1000.21
13.24458909,0.15,-0.46,7.04,-0.9,30.87,1000.21
13.24966502,0.44,-0.55,6.65,-0.85,30.87,1000.21
13.25476098,0.36,-0.37,7,-1.18,30.87,1000.21
13.25980091,0.02,-0.8,7.02,-0.96,30.87,1000.21
13.26494598,0.26,-0.63,6.76,-0.66,30.87,1000.21
13.26981878,0.06,-0.42,6.64,-0.77,30.87,1000.21
13.274827,0.01,-0.64,6.86,-0.63,30.87,1000.21
