time,windspeed_x,windspeed_y,windspeed_z,static_pressure,temperature_celsius,atmospheric_pressure_hPa
10.104871988296509,0.03,-0.17,5.8,0.44,30.81,999.89
10.10982608795166,-0.15,0.14,5.7,0.32,30.81,999.89
10.114864826202393,0.05,0.13,5.7,0.31,30.81,999.89
10.11989712715149,-0.04,0.09,5.74,0.11,30.81,999.89
10.12482500076294,-0.2,-0.06,5.85,0.35,30.81,999.89
10.129819869995117,-0.17,0.08,6.12,0.08,30.81,999.89
10.13486385345459,-0.09,0.18,5.96,0.48,30.81,999.89
10.139779090881348,0.02,0.23,6.07,0.15,30.81,999.89
10.144873857498169,0.32,0.13,5.95,0.21,30.81,999.89
10.14988112449646,-0.06,0.38,5.8,0.22,30.81,999.89
10.154725790023804,0.04,0.18,5.73,0.22,30.81,999.89
10.159994840621948,0.1,-0.13,5.63,0.27,30.81,999.89
10.164840936660767,-0.15,-0.2,5.73,0.05,30.81,999.89
10.169910907745361,0.1,0.27,6.2,0.53,30.81,999.89
10.174864768981934,-0.06,0.28,6.52,0.28,30.81,999.89
10.179866790771484,-0.01,0.19,6.33,0.39,30.81,999.89
10.184813976287842,-0.07,0.18,6.21,0.71,30.81,999.89
10.189871788024902,0.04,0.23,5.98,0.25,30.81,999.89
10.194741010665894,-0.04,0.5,6.0,0.49,30.81,999.89
10.199893951416016,0.13,0.13,5.97,0.64,30.81,999.89
10.204951047897339,0.05,0.02,5.88,0.42,30.81,999.89
10.209894895553589,-0.12,0.28,5.87,0.53,30.81,999.89
10.21478796005249,-0.09,0.17,5.7,0.29,30.81,999.89
10.219589948654175,-0.14,0.17,6.09,0.12,30.81,999.89
10.224861860275269,0.2,-0.01,5.95,0.12,30.81,999.89
10.229644060134888,0.34,-0.1,6.14,0.41,30.81,999.89
10.234776973724365,0.13,-0.08,5.91,0.51,30.81,999.89
10.23988389968872,0.03,-0.14,5.9,0.56,30.81,999.89
10.244909048080444,-0.25,0.26,6.04,0.3,30.81,999.89
10.249756813049316,-0.07,0.22,6.09,0.48,30.81,999.89
10.25491189956665,-0.0,0.31,6.2,0.35,30.81,999.89
10.25987195968628,0.12,0.17,5.93,0.36,30.81,999.89
10.264961957931519,-0.0,-0.06,6.01,0.29,30.81,999.89
10.269681930541992,-0.02,-0.05,5.84,0.41,30.81,999.89
10.274586915969849,0.18,-0.12,5.98,0.38,30.81,999.89
10.279705047607422,-0.07,-0.08,5.95,0.15,30.81,999.89
10.28489899635315,0.0,-0.12,5.84,0.41,30.81,999.89
10.289834022521973,-0.08,0.17,5.97,0.51,30.81,999.89
10.294737815856934,0.21,0.04,5.91,0.45,30.81,999.89
10.299832105636597,-0.02,-0.03,6.19,0.19,30.81,999.89
10.304874897003174,-0.06,0.21,5.86,0.82,30.81,999.89
10.310004949569702,-0.12,0.11,6.03,0.44,30.81,999.89
10.31482195854187,-0.03,-0.14,6.01,0.57,30.81,999.89
10.319913864135742,-0.34,0.1,5.84,0.5,30.81,999.89
10.32488489151001,-0.17,-0.01,5.96,0.51,30.81,999.89
10.329769849777222,0.19,0.08,6.05,0.52,30.81,999.89
10.33487582206726,-0.14,0.17,6.03,0.63,30.81,999.89
10.339859008789062,-0.04,0.03,5.87,0.55,30.81,999.89
10.344785928726196,-0.24,0.26,5.89,0.46,30.81,999.89
10.349853992462158,-0.01,-0.13,6.06,0.2,30.81,999.89
10.354854822158813,0.14,0.16,5.97,0.3,30.81,999.89
10.359658002853394,-0.2,0.04,5.86,0.0,30.81,999.89
10.364797830581665,-0.11,0.13,6.31,0.06,30.81,999.89
10.369831800460815,-0.07,-0.0,6.18,0.48,30.81,999.89
10.374946117401123,-0.07,0.03,6.1,0.46,30.81,999.89
10.379745960235596,0.05,0.22,6.16,0.34,30.81,999.89
10.384842872619629,-0.32,0.26,5.94,0.18,30.81,999.89
10.38988184928894,-0.22,0.28,6.09,0.42,30.81,999.89
10.394874811172485,-0.18,0.57,6.0,0.27,30.81,999.89
10.399963855743408,-0.09,0.28,5.86,0.26,30.81,999.89
10.40516185760498,0.08,-0.18,5.82,0.21,30.81,999.89
10.409862995147705,-0.33,-0.19,5.89,0.23,30.81,999.89
10.414954900741577,-0.19,-0.14,5.94,-0.04,30.81,999.89
10.419818878173828,0.05,-0.01,5.88,0.03,30.81,999.89
10.424631118774414,0.08,0.17,5.87,0.22,30.81,999.89
10.430108785629272,-0.05,-0.1,5.7,0.37,30.81,999.89
10.434689998626709,0.1,-0.01,5.92,0.36,30.81,999.89
10.439487934112549,0.13,-0.19,6.2,0.31,30.81,999.89
10.44452977180481,-0.28,0.13,5.66,0.46,30.81,999.89
10.449464082717896,-0.34,0.07,5.96,0.12,30.81,999.89
10.454344987869263,0.08,0.15,6.08,0.29,30.81,999.89
10.459344863891602,0.16,0.01,6.01,0.45,30.81,999.89
10.464469909667969,-0.04,0.13,6.2,0.44,30.81,999.89
10.469422817230225,-0.18,0.26,6.26,0.27,30.81,999.89
10.474339723587036,-0.05,0.17,6.01,0.19,30.81,999.89
10.479471921920776,-0.02,0.06,6.12,0.06,30.81,999.89
10.484440088272095,-0.04,0.33,6.16,0.31,30.81,999.89
10.489442110061646,0.09,0.23,6.09,0.31,30.81,999.89
10.494540929794312,-0.25,-0.22,5.96,0.22,30.81,999.89
10.499531030654907,-0.44,0.4,5.74,0.25,30.81,999.89
10.504510879516602,-0.47,0.53,6.07,0.35,30.81,999.89
10.509586811065674,0.11,0.36,5.83,0.1,30.81,999.89
10.514662981033325,0.08,0.02,6.2,-0.1,30.81,999.89
10.51955509185791,-0.02,0.13,5.96,-0.07,30.81,999.89
10.524618864059448,-0.16,0.15,6.06,-0.01,30.81,999.89
10.529515981674194,-0.24,0.24,6.11,0.24,30.81,999.89
10.534569025039673,-0.11,0.34,5.67,0.27,30.81,999.89
10.539597988128662,-0.07,0.16,5.69,0.2,30.81,999.89
10.54456090927124,-0.01,0.1,5.91,0.16,30.81,999.89
10.549647808074951,0.03,0.03,6.09,-0.08,30.81,999.89
10.55464792251587,0.08,0.3,6.16,0.26,30.81,999.89
10.559674739837646,-0.07,0.15,6.19,0.09,30.81,999.89
10.564505815505981,-0.25,0.19,5.92,0.44,30.81,999.89
10.569583892822266,-0.2,0.28,6.0,-0.01,30.81,999.89
10.574628829956055,0.11,-0.01,6.1,-0.0,30.81,999.89
10.579651117324829,0.21,0.14,5.76,0.08,30.81,999.89
10.584695100784302,-0.3,0.24,5.9,0.0,30.81,999.89
10.589838743209839,-0.01,0.19,6.23,0.05,30.81,999.89
10.594558954238892,0.39,-0.05,6.12,0.21,30.81,999.89
10.599998950958252,-0.35,0.21,6.1,0.1,30.81,999.89
10.604814767837524,-0.11,-0.1,5.98,-0.07,30.87,999.89
10.609947919845581,0.32,0.16,5.74,-0.19,30.87,999.89
10.614850044250488,-0.03,-0.11,5.64,-0.01,30.87,999.89
10.619939804077148,0.09,0.0,5.67,0.09,30.87,999.89
10.6249520778656,-0.26,0.02,5.78,-0.12,30.87,999.89
10.629957914352417,-0.06,0.15,5.58,0.19,30.87,999.89
10.634999990463257,-0.04,0.11,5.86,-0.08,30.87,999.89
10.639954805374146,-0.48,0.41,6.08,-0.18,30.87,999.89
10.64487600326538,-0.1,0.27,6.27,-0.2,30.87,999.89
10.649950981140137,0.04,0.13,6.04,-0.02,30.87,999.89
10.654959917068481,-0.13,0.07,6.11,-0.02,30.87,999.89
10.659811019897461,-0.01,0.39,6.15,-0.07,30.87,999.89
10.664937973022461,0.11,0.22,6.01,0.17,30.87,999.89
10.669939994812012,-0.18,0.06,6.11,0.09,30.87,999.89
10.67500376701355,-0.36,0.12,5.82,0.0,30.87,999.89
10.67998194694519,-0.23,-0.01,6.18,-0.13,30.87,999.89
10.684922933578491,0.21,0.15,6.11,0.24,30.87,999.89
10.689945936203003,0.42,0.1,6.05,0.12,30.87,999.89
10.695002794265747,0.06,0.29,6.26,-0.16,30.87,999.89
10.699584007263184,-0.26,0.33,6.0,0.16,30.87,999.89
10.704663038253784,-0.09,0.5,5.71,-0.08,30.87,999.89
10.70977783203125,-0.1,0.04,5.97,-0.07,30.87,999.89
10.714769840240479,0.02,-0.0,5.79,-0.06,30.87,999.89
10.719635963439941,0.02,0.13,5.8,0.15,30.87,999.89
10.724975824356079,-0.1,0.15,5.56,-0.11,30.87,999.89
10.730017900466919,-0.4,0.32,5.93,-0.13,30.87,999.89
10.735016822814941,-0.49,0.38,5.77,-0.14,30.87,999.89
10.739879846572876,-0.3,0.38,5.75,0.09,30.87,999.89
10.744978904724121,-0.03,0.05,5.85,0.06,30.87,999.89
10.75000286102295,0.04,-0.19,5.99,0.1,30.87,999.89
10.754811763763428,0.31,-0.05,5.99,0.02,30.87,999.89
10.759721040725708,0.53,0.05,5.97,-0.36,30.87,999.89
10.76486611366272,0.38,0.03,5.92,-0.11,30.87,999.89
10.769675016403198,-0.02,-0.04,5.76,0.12,30.87,999.89
10.774688005447388,-0.1,0.07,6.02,0.08,30.87,999.89
10.779700994491577,-0.06,0.09,5.89,0.02,30.87,999.89
10.784592866897583,-0.17,0.55,5.94,0.13,30.87,999.89
10.78976583480835,-0.15,0.59,6.05,-0.03,30.87,999.89
10.794702053070068,0.1,0.22,6.08,-0.1,30.87,999.89
10.799885034561157,-0.04,0.35,6.13,0.21,30.87,999.89
10.804980993270874,0.15,0.2,5.86,0.02,30.84,999.89
10.809804916381836,0.2,0.05,6.07,0.08,30.84,999.89
10.814867973327637,-0.0,0.06,6.05,0.11,30.84,999.89
10.819813966751099,-0.19,0.17,6.14,0.09,30.84,999.89
10.825286865234375,0.06,0.09,5.93,0.08,30.84,999.89
10.82984709739685,-0.01,0.33,5.74,0.13,30.84,999.89
10.834659099578857,0.19,0.17,5.69,-0.02,30.84,999.89
10.839993000030518,0.11,0.13,5.72,0.02,30.84,999.89
10.84457278251648,0.01,0.18,5.16,0.17,30.84,999.89
10.849800825119019,0.55,-0.11,5.75,-0.26,30.84,999.89
10.855048894882202,-0.18,0.17,5.69,0.13,30.84,999.89
10.859692096710205,-0.02,0.1,5.77,-0.09,30.84,999.89
10.864892959594727,0.15,0.0,5.73,0.08,30.84,999.89
10.86966609954834,0.05,0.27,6.1,0.36,30.84,999.89
10.87500786781311,0.2,0.24,5.98,0.14,30.84,999.89
10.880059957504272,-0.0,-0.05,5.97,0.13,30.84,999.89
10.884690999984741,-0.25,0.35,5.84,0.06,30.84,999.89
10.88951301574707,-0.01,0.4,5.82,-0.13,30.84,999.89
10.894697904586792,-0.08,0.35,5.78,-0.06,30.84,999.89
10.899739980697632,0.1,0.25,5.85,-0.03,30.84,999.89
10.904611110687256,-0.17,0.27,6.11,0.27,30.84,999.89
10.909790992736816,0.22,0.04,6.32,-0.08,30.84,999.89
10.914862155914307,0.15,-0.01,6.27,0.21,30.84,999.89
10.919855833053589,-0.05,-0.11,6.02,0.43,30.84,999.89
10.924774885177612,0.05,-0.13,5.87,0.29,30.84,999.89
